ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
"KENTUCKY FRIED CHICKEN, салат из капусты",144 к ал,"0,91 г","8,64 г","13,65 г"
"KENTUCKY FRIED CHICKEN, хруст€щие куринные полосочки, информаци€ состо€нием на  €нварь 2007",274 к ал,"20,25 г","15,42 г","12,26 г"
"LITTLE CAESARS, пицца с м€сом и овощами, на оригинальном корже, 14 дюймов",243 к ал,"12,12 г","11,35 г",21 г
"LITTLE CAESARS, пицца с паперони ""Original Round Pepperoni Pizza"", на стандартном корже, 14 дюймов",273 к ал,"13,59 г","10,5 г","29,31 г"
"LITTLE CAESARS, пицца с паперони ""Pepperoni Pizza"", на большом замороженном корже, 14 дюймов",265 к ал,"12,93 г","10,81 г","27,53 г"
"LITTLE CAESARS, сырна€ пицца ""Cheese Pizza"", на большом замороженном корже, 14 дюймов",263 к ал,"12,63 г","10,22 г","28,8 г"
"LITTLE CAESARS, сырна€ пицца ""Cheese Pizza"", на тонком корже, 14 дюймов",309 к ал,"16,23 г","16,99 г","21,25 г"
"LITTLE CAESARS, сырна€ пицца ""Original Round Cheese Pizza"", на стандартном корже, 14 дюймов",265 к ал,"13,39 г","9,54 г","29,8 г"
"McDONALD'S, ""BIG MAC""",257 к ал,"11,82 г","14,96 г","18,48 г"
"McDONALD'S, ""BIG MAC"" (без соуса Big Mac)",234 к ал,"12,79 г","11,57 г","19,31 г"
"McDONALD'S, ""Chicken McNUGGETS""",302 к ал,"15,79 г","19,81 г","15,09 г"
"McDONALD'S, бисквит с беконом, €йцом и сыром",304 к ал,"13,45 г","18,77 г","21,36 г"
"McDONALD'S, бисквит с котлетой",376 к ал,"9,62 г","25,4 г",26 г
"McDONALD'S, бисквит с котлетой и €йцом",311 к ал,"11,27 г","22,26 г","18,48 г"
"McDONALD'S, буррито с котлетой",262 к ал,"11,54 г","15,15 г","21,39 г"
"McDONALD'S, гамбургер",264 к ал,"12,92 г","10,09 г","28,98 г"
"McDONALD'S, готовые завтраки ""BIG BREAKFAST""",285 к ал,"10,16 г","19,37 г","16,4 г"
"McDONALD'S, двойной сэндвич ""QUARTER POUNDER"" с сыром",262 к ал,"16,96 г","16,22 г","13,43 г"
"McDONALD'S, двойной чизбургер",282 к ал,"15,5 г","16,09 г","17,99 г"
"McDONALD'S, драники",262 к ал,"2,26 г","16,46 г","26,3 г"
"McDONALD'S, завтрак ""Deluxe"", с сиропом и маргарином",285 к ал,"7,56 г","15,23 г","28,48 г"
"McDONALD'S, йогуртово-фруктовое ѕарфе",105 к ал,"2,73 г","1,3 г","19,72 г"
"McDONALD'S, йогуртово-фруктовое ѕарфе (без гранолы)",90 к ал,"2,47 г","1,13 г","16,77 г"
"McDONALD'S, картошка фри",323 к ал,"3,41 г","15,47 г","38,68 г"
"McDONALD'S, котлета McGRIDDLES",312 к ал,"8,41 г","17,76 г","30,25 г"
"McDONALD'S, котлета McMuffin",333 к ал,"12,66 г","21,06 г","23,12 г"
"McDONALD'S, котлета McMuffin с €йцом",274 к ал,"12,59 г","17,83 г","16,38 г"
"McDONALD'S, котлета McMuffin с €йцом и сыром",283 к ал,"10,77 г","17,73 г","21,44 г"
"McDONALD'S, мороженное ""McFLURRY"" с конфетами ""M and M'S""",177 к ал,"4,02 г","6,46 г","26,62 г"
"McDONALD'S, мороженное ""McFLURRY"" с печеньем ""OREO""",165 к ал,"3,97 г","5,66 г","25,45 г"
"McDONALD'S, обезжиренное ванильное мороженое, рожок",162 к ал,"4,24 г","4,86 г","26,26 г"
"McDONALD'S, оладьи",228 к ал,6 г,"5,84 г","36,87 г"
"McDONALD'S, оладьи (с двум€ шариками масла и сиропом)",272 к ал,"4,05 г","8,06 г","45,18 г"
"McDONALD'S, оладьи с сосисками",294 к ал,"7,81 г","12,5 г","35,95 г"
"McDONALD'S, пломбир клубничный",158 к ал,"3,19 г","3,95 г","28,09 г"
"McDONALD'S, пломбир с гор€чей карамелью",188 к ал,"3,58 г","4,89 г","33,36 г"
"McDONALD'S, пломбир с гор€чей помадкой",186 к ал,"4,14 г","5,91 г","29,65 г"
"McDONALD'S, рыбный сэндвич ""FILET-O-FISH""",282 к ал,"11,26 г","14,64 г","24,99 г"
"McDONALD'S, рыбный сэндвич ""FILET-O-FISH"" (без соуса тартар)",243 к ал,"12,47 г","7,62 г","30,08 г"
"McDONALD'S, салат с беконом и хруст€щей кур€тиной ""Bacon Ranch Salad""",122 к ал,"8,82 г","6,3 г","5,08 г"
"McDONALD'S, сэндвич ""McCHICKEN"" (без майонеза)",240 к ал,"11,08 г","8,46 г","29,55 г"
"McDONALD'S, сэндвич ""McMUFFIN"" с €йцом",228 к ал,"13,64 г","9,66 г","20,57 г"
"McDONALD'S, сэндвич ""QUARTER POUNDER""",244 к ал,"14,1 г","11,55 г","20,57 г"
"McDONALD'S, сэндвич ""QUARTER POUNDER"" (с сыром)",258 к ал,"14,59 г","14,22 г","18,55 г"
"McDONALD'S, сэндвич с беконом, €йцом и сыром ""McGRIDDLES""",272 к ал,"12,03 г","13,19 г","25,39 г"
"McDONALD'S, чизбургер",263 к ал,"12,97 г","11,79 г","26,71 г"
"PAPA JOHN'S, пицца ""Works Pizza"", на фирменном корже, 14 дюймов",240 к ал,"10,27 г","10,21 г","24,19 г"
"PAPA JOHN'S, пицца с паперони ""Pepperoni Pizza"", на оригинальном корже, 14 дюймов",275 к ал,"11,97 г","11,86 г","28,84 г"
"PAPA JOHN'S, сырна€ пицца ""Cheese Pizza"", на оригинальмом корже, 14 дюймов",260 к ал,"11,53 г","9,25 г","30,84 г"
"PAPA JOHN'S, сырна€ пицца ""Cheese Pizza"", на тонком корже, 14 дюймов",295 к ал,"12,29 г","15,66 г","23,96 г"
"PIZZA HUT, пицца ""Super Supreme Pizza"", на стандартном корже, 12 дюймов",243 к ал,"10,9 г","10,72 г","23,62 г"
"PIZZA HUT, пицца ""Super Supreme Pizza"", на стандартном корже, 14 дюймов",248 к ал,"11,34 г","10,95 г","23,71 г"
"PIZZA HUT, пицца с паперони ""Pepperoni Pizza"", на стандартном корже, 12 дюймов",280 к ал,"12,86 г","11,38 г","29,85 г"
"PIZZA HUT, пицца с паперони ""Pepperoni Pizza"", на стандартном корже, 14 дюймов",291 к ал,"12,23 г","12,63 г","29,51 г"
"PIZZA HUT, пицца с паперони ""Pepperoni Pizza"", на толстом корже, 12 дюймов",298 к ал,"11,97 г","14,21 г","28,69 г"
"PIZZA HUT, пицца с паперони ""Pepperoni Pizza"", на толстом корже, 14 дюймов",291 к ал,"11,47 г","13,07 г","29,79 г"
"PIZZA HUT, сырна€ пицца ""Cheese Pizza"", на стандартном корже, 12 дюймов",271 к ал,"11,93 г","10,89 г","29,42 г"
"PIZZA HUT, сырна€ пицца ""Cheese Pizza"", на стандартном корже, 14 дюймов",275 к ал,"11,98 г","10,42 г","31,02 г"
"PIZZA HUT, сырна€ пицца ""Cheese Pizza"", на толстом корже, 12 дюймов",280 к ал,"11,73 г","12,56 г","28,23 г"
"PIZZA HUT, сырна€ пицца ""Cheese Pizza"", на толстом корже, 14 дюймов",276 к ал,"10,85 г","11,25 г","30,75 г"
"PIZZA HUT, сырна€ пицца ""Cheese Pizza"", на тонком хруст€щем корже, 12 дюймов",303 к ал,"15,29 г","14,1 г","27,04 г"
"PIZZA HUT, сырна€ пицца ""Cheese Pizza"", на тонком хруст€щем корже, 14 дюймов",306 к ал,"13,37 г","12,8 г","31,82 г"
"POPEYES, бисквит, информаци€ состо€нием на но€брь 2007",401 к ал,6 г,"23,71 г","37,15 г"
"POPEYES, жарена€ в панировке курица, бедра, м€со и шкурка, информаци€ состо€нием на €нварь 2007",310 к ал,"19,14 г","20,99 г","10,7 г"
"POPEYES, жарена€ в панировке курица, грудка, м€со и шкурка, информаци€ состо€нием на €нварь 2007",274 к ал,"21,67 г","16,47 г","9,43 г"
"POPEYES, жарена€ в панировке курица, крылышки, м€со и шкурка, информаци€ состо€нием на  €нварь 2007",338 к ал,"20,4 г","22,48 г","12,92 г"
"POPEYES, жарена€ в панировке курица, ножки, м€со и шкурка, острые, информаци€ состо€нием на  €нварь 2007",293 к ал,"20,44 г","19,14 г","9,84 г"
"POPEYES, жарена€ в панировке курица, шкурка, информаци€ состо€нием на  €нварь 2007",433 к ал,"13,96 г","32,32 г","20,54 г"
"POPEYES, жарена€ курица, бедра, только м€со, информаци€ состо€нием на  €нварь 2007",188 к ал,"24,31 г","9,66 г","0,85 г"
"POPEYES, жарена€ курица, грудка, только м€со, информаци€ состо€нием на  €нварь 2007",157 к ал,"28,98 г","4,52 г",0 г
"POPEYES, жарена€ курица, крылышки, только м€со, информаци€ состо€нием на  €нварь 2007",212 к ал,"28,94 г","9,42 г","2,9 г"
"POPEYES, жарена€ курица, ножки, только м€со, информаци€ состо€нием на  €нварь 2007",170 к ал,"26,51 г","7,14 г","0,04 г"
"POPEYES, куринные полосочки, информаци€ состо€нием на  2006 год",271 к ал,"19,2 г","13,01 г","18,51 г"
"POPEYES, острые куринные полосочки, информаци€ состо€нием на  2006 год",253 к ал,"19,61 г","11,2 г","17,32 г"
"POPEYES, салат из капусты",161 к ал,"0,98 г","11,18 г","12,42 г"
"TACO BELL, буррито ""SUPREME"" с гов€диной",183 к ал,"7,03 г","6,8 г","19,67 г"
"TACO BELL, буррито ""SUPREME"" с курицей",179 к ал,"9,84 г","6,42 г","18,11 г"
"TACO BELL, буррито ""SUPREME"" со стейком",183 к ал,"9,13 г","7,27 г","17,92 г"
"TACO BELL, буррито с бобами",209 к ал,"7,35 г","6,05 г","27,03 г"
"TACO BELL, м€гкое тако (тако с пшеничной лепешкой) с гов€диной",206 к ал,"9,25 г","9,75 г","17,33 г"
"TACO BELL, м€гкое тако (тако с пшеничной лепешкой) с курицей",189 к ал,"13,3 г","6,35 г","18,49 г"
"TACO BELL, м€гкое тако (тако с пшеничной лепешкой) со стейком",225 к ал,"11,81 г","12,1 г","15,62 г"
"TACO BELL, начо (картофельные чипсы)",350 к ал,"4,32 г","21,5 г","31,71 г"
"TACO BELL, начо (картофельные чипсы) с соусом сюприм",246 к ал,"7,59 г","13,65 г","23,09 г"
