ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
—ливки взбитые 22% жирности в аэрозольном балончике,257 к ал,"3,2 г","22,22 г","12,49 г"
"—ливки взбитые 27% жирности,  плодово-€годные",344 к ал,"2,8 г",27 г,"23,6 г"
"—ливки взбитые 27% жирности, шоколадные",337 к ал,"2,8 г",27 г,"21,6 г"
"—ливки взбитые 28% жирности, ванильные",346 к ал,"2,8 г",28 г,"21,6 г"
—ливки взбитые обезжиренные 5% жирности Reddi Wip,149 к ал,3 г,5 г,"24,6 г"
"—ливки сгущенные с сахаром, 19% жирности",392 к ал,8 г,19 г,47 г
"—ливки сухие 42,0% жирности",577 к ал,19 г,42 г,"30,2 г"
"—метана 10,6% жирности",136 к ал,"3,5 г","10,6 г","7,1 г"
—метана 10% жирности,119 к ал,"2,7 г",10 г,"3,9 г"
—метана 10% жирности Ђƒомашн€€ї,130 к ал,"3,8 г",10 г,"5,6 г"
—метана 12% жирности,135 к ал,"2,94 г",12 г,"4,26 г"
—метана 12% жирности KRAFT BREAKSTONE'S,152 к ал,"4,5 г",12 г,"6,4 г"
"—метана 14,1% жирности",181 к ал,7 г,"14,1 г",7 г
—метана 15% жирности,162 к ал,"2,6 г",15 г,"3,6 г"
"—метана 19,35% жирности",198 к ал,"2,44 г","19,35 г","4,63 г"
—метана 20% жирности,206 к ал,"2,5 г",20 г,"3,4 г"
—метана 25% жирности,250 к ал,"2,4 г",25 г,"3,2 г"
—метана 30% жирности,293 к ал,"2,3 г",30 г,"3,1 г"
—метана 36% жирности,346 к ал,"2,4 г",36 г,"2,6 г"
—метана 40% жирности,381 к ал,"2,4 г",40 г,"2,6 г"
—метана обезжиренна€,74 к ал,"3,1 г",0 г,"15,6 г"
"—улугуни, м.д.ж. 46% в сух. в-ве",286 к ал,"20,5 г",22 г,"0,4 г"
—ыворотка кисла€,24 к ал,"0,76 г","0,09 г","5,12 г"
"—ыворотка кисла€, суха€",339 к ал,"11,73 г","0,54 г","73,45 г"
—ыворотка подсырна€,21 к ал,1 г,"0,1 г",4 г
—ыворотка сладка€,27 к ал,"0,85 г","0,36 г","5,14 г"
"—ыворотка сладка€, суха€",353 к ал,"12,93 г","1,07 г","74,46 г"
—ыворотка творожна€,20 к ал,"0,8 г","0,2 г","3,5 г"
"—ыр адыгейский, м.д.ж. 45% в сух. в-ве",264 к ал,"19,8 г","19,8 г","1,5 г"
"—ыр американский, обезжиренный",126 к ал,"21,05 г",0 г,"10,53 г"
"—ыр бийский, м.д.ж. 50% в сух. в-ве",371 к ал,"24,2 г","29,9 г",0 г
"—ыр бри, м.д.ж. 54% в сух. в-ве",334 к ал,"20,75 г","27,68 г","0,45 г"
"—ыр брик дю ‘орез, французский м€гкий белый сыр, м.д.ж. 50% в сух. в-ве",371 к ал,"23,24 г","29,68 г","2,79 г"
"—ыр выруский, м.д.ж. 30% в сух. в-ве",258 к ал,29 г,15 г,0 г
"—ыр гауда, твЄрдый голландский сыр, м.д.ж. 47% в сух. в-ве",356 к ал,"24,94 г","27,44 г","2,22 г"
"—ыр гейтуст, норвежский полутвЄрдый коричневый сыр, м.д.ж. 34% в сух. в-ве",466 к ал,"9,65 г","29,51 г","42,65 г"
"—ыр голландский, брусковый, м.д.ж. 45% в сух. в-ве",350 к ал,"26,3 г","26,6 г",0 г
"—ыр голландский, круглый, м.д.ж. 50% в сух. в-ве",375 к ал,"23,7 г","30,4 г",0 г
"—ыр голубой с плесенью, м.д.ж. 50% в сух. в-ве",353 к ал,"21,4 г","28,74 г","2,34 г"
"—ыр грюйер, швейцарский твЄрдый жЄлтый сыр, м.д.ж. 48% в сух. в-ве",413 к ал,"29,81 г","32,34 г","0,36 г"
"—ыр жемайчу, м.д.ж. 34% в сух. в-ве",262 к ал,26 г,"16,7 г",0 г
"—ыр земгальский, м.д.ж. 50% в сух. в-ве",309 к ал,19 г,25 г,0 г
"—ыр и творог домашний 4% жирности, несолЄный, м.д.ж. 16% в сух. в-ве",113 к ал,17 г,4 г,"1,5 г"
"—ыр и творог домашний нежирный, несолЄный, м.д.ж. 3% в сух. в-ве",86 к ал,18 г,"0,6 г","1,5 г"
"—ыр из козьего молока м€гкий, м.д.ж. 54% в сух. в-ве",264 к ал,"18,52 г","21,08 г",0 г
"—ыр из козьего молока полутвердый, м.д.ж. 55% в сух. в-ве",364 к ал,"21,58 г","29,84 г","0,12 г"
"—ыр из козьего молока твердый, м.д.ж. 50% в сух. в-ве",452 к ал,"30,52 г","35,59 г","2,17 г"
"—ыр камамбер, м.д.ж. 50% в сух. в-ве",300 к ал,"19,8 г","24,26 г","0,46 г"
"—ыр камамбер, м.д.ж. 60% в сух. в-ве",324 к ал,"15,3 г","28,8 г","0,1 г"
"—ыр каунасский, м.д.ж. 30% в сух. в-ве",253 к ал,"28,3 г","14,7 г",0 г
"—ыр  есо Ѕланко, м€гкий белый сыр, м.д.ж. 47% в сух. в-ве",310 к ал,"20,38 г","24,31 г","2,53 г"
"—ыр  есо  отиха, мексиканский твЄрдый сыр, м.д.ж. 48% в сух. в-ве",366 к ал,20 г,30 г,"3,97 г"
"—ыр  есо —еко, м€гкий белый сыр, отжатый, м.д.ж. 42% в сух. в-ве",325 к ал,"24,51 г","24,35 г","2,04 г"
"—ыр  есо ‘реско, м€гкий белый сыр, свежий, м.д.ж. 49% в сух. в-ве",299 к ал,"18,09 г","23,82 г","2,98 г"
"—ыр колби, м.д.ж. 52% в сух. в-ве",394 к ал,"23,76 г","32,11 г","2,57 г"
"—ыр костромской, м.д.ж. 45% в сух. в-ве",343 к ал,"25,6 г","26,1 г",0 г
"—ыр латвийский, м.д.ж. 45% в сух. в-ве",316 к ал,"23,3 г","24,1 г",0 г
"—ыр лимбургер, м€гкий бельгийский сыр, м.д.ж. 53% в сух. в-ве",327 к ал,"20,05 г","27,25 г","0,49 г"
"—ыр литовский, м.д.ж. 30% в сух. в-ве",250 к ал,"27,9 г","14,7 г",0 г
"—ыр мексиканский, кесо анежо, м.д.ж. 48% в сух. в-ве",373 к ал,"21,44 г","29,98 г","4,63 г"
"—ыр мексиканский, кесо асадеро, м.д.ж. 45% в сух. в-ве",356 к ал,"22,6 г",25 г,"4,13 г"
"—ыр мексиканский, кесо чихуа-хуа, м.д.ж. 49% в сух. в-ве",374 к ал,"21,56 г","29,68 г","5,56 г"
"—ыр мексиканский, м.д.ж. 37% в сух. в-ве",282 к ал,"24,69 г","19,4 г","3,41 г"
"—ыр мексиканский, м.д.ж. 54% в сух. в-ве",384 к ал,"23,54 г","32,14 г","0,13 г"
"—ыр монтерей, м.д.ж. 40% в сух. в-ве",313 к ал,"28,2 г","21,6 г","0,7 г"
"—ыр монтерей, м.д.ж. 51% в сух. в-ве",373 к ал,"24,48 г","30,28 г","0,68 г"
"—ыр моцарелла, м.д.ж. 34% в сух. в-ве",254 к ал,"24,26 г","15,92 г","2,77 г"
"—ыр моцарелла, м.д.ж. 44% в сух. в-ве",299 к ал,"22,17 г","22,14 г","2,4 г"
"—ыр моцарелла, низкой влажности, м.д.ж. 37% в сух. в-ве",295 к ал,"23,75 г","19,78 г","5,58 г"
"—ыр моцарелла, низкой влажности, м.д.ж. 48% в сух. в-ве",318 к ал,"21,6 г","24,64 г","2,47 г"
"—ыр моцарелла, низкой влажности, тЄртый, м.д.ж. 36% в сух. в-ве",304 к ал,"23,63 г","19,72 г","8,06 г"
"—ыр моцарелла, обезжиренный",141 к ал,"31,7 г",0 г,"1,7 г"
"—ыр моцарелла, с низким содержанием соли, м.д.ж. 34% в сух. в-ве",280 к ал,"27,5 г","17,1 г","3,1 г"
"—ыр мюнстер, м.д.ж. 36% в сух. в-ве",271 к ал,"24,7 г","17,6 г","3,5 г"
"—ыр мюнстер, м.д.ж. 52% в сух. в-ве",368 к ал,"23,41 г","30,04 г","1,12 г"
"—ыр нешатель, м.д.ж. 62% в сух. в-ве",253 к ал,"9,15 г","22,78 г","3,59 г"
"—ыр н€мунас, м.д.ж. 50% в сух. в-ве",334 к ал,21 г,27 г,0 г
"—ыр пармезан, 20% жира, 20% белка, крошеный, м.д.ж. 40% в сух. в-ве",265 к ал,20 г,20 г,"1,37 г"
"—ыр пармезан, 28,4% белка, крошеный, м.д.ж. 36% в сух. в-ве",420 к ал,"28,42 г","27,84 г","13,91 г"
"—ыр пармезан, 36% белка, твердый, м.д.ж. 36% в сух. в-ве",392 к ал,"35,75 г",25 г,"3,22 г"
"—ыр пармезан, 38% белка, тертый, м.д.ж. 36% в сух. в-ве",415 к ал,"37,86 г","27,34 г","3,41 г"
"—ыр пармезан, 41,6% белка, с низким содержанием соли, м.д.ж. 39% в сух. в-ве",451 к ал,"41,6 г","29,99 г","3,7 г"
"—ыр пармезан, крошка дл€ посыпки, обезжиренный, м.д.ж. 5% в сух. в-ве",370 к ал,40 г,5 г,40 г
"—ыр пименто, острый плавленный сыр с перцем, м.д.ж. 51% в сух. в-ве",375 к ал,"22,13 г","31,2 г","1,63 г"
"—ыр плавленный (м€гкий спред) 22% жирности KRAFT VELVEETA, м.д.ж. 41% в сух. в-ве",303 к ал,"16,3 г",22 г,"9,8 г"
"—ыр плавленный (м€гкий спред) американский, 21,2% жирности, м.д.ж. 41% в сух. в-ве",290 к ал,"16,41 г","21,23 г","8,73 г"
"—ыр плавленный американский 31% жирности, с витамином D, м.д.ж. 51% в сух. в-ве",366 к ал,"18,13 г","30,71 г","4,78 г"
"—ыр плавленный американский 32% жирности, м.д.ж. 53% в сух. в-ве",371 к ал,"18,13 г","31,79 г","3,7 г"
"—ыр плавленный американский 7% жирности, м.д.ж. 17% в сух. в-ве",180 к ал,"24,6 г",7 г,"3,5 г"
"—ыр плавленный американский или чеддер, полужирный, 9% жирности, м.д.ж. 23% в сух. в-ве",176 к ал,"13,41 г","8,88 г","10,71 г"
"—ыр плавленный сливочный (спред), 28,6% жирности, м.д.ж. 69% в сух. в-ве",295 к ал,"7,1 г","28,6 г","3,5 г"
"—ыр плавленный чеддер или американский, с пониженным содержанием соли, м.д.ж. 55% в сух. в-ве",376 к ал,"22,2 г","31,19 г","1,6 г"
"—ыр плавленный швейцарский 25% жирности, пастеризированный, м.д.ж. 43% в сух. в-ве",334 к ал,"24,73 г","25,01 г","2,1 г"
"—ыр плавленый ""белоснежка"", м.д.ж. 50% в сух. в-ве",258 к ал,"15,3 г",21 г,2 г
"—ыр плавленый ""золушка"", м.д.ж. 20% в сух. в-ве",254 к ал,"15,2 г","10,8 г","23,8 г"
"—ыр плавленый ""медовый"", м.д.ж. 30% в сух. в-ве",291 к ал,"6,1 г","16,5 г","29,4 г"
"—ыр плавленый ""м€тный"", м.д.ж. 30% в сух. в-ве",335 к ал,"7,9 г","19,1 г","32,7 г"
"—ыр плавленый ""сказка"", м.д.ж. 30% в сух. в-ве",316 к ал,"12,2 г",18 г,"26,1 г"
"—ыр плавленый ""сластена"", м.д.ж. 20% в сух. в-ве",269 к ал,13 г,"11,4 г","28,4 г"
"—ыр плавленый ""чебурашка"", м.д.ж. 50% в сух. в-ве",309 к ал,"10,7 г",25 г,"10,7 г"
"—ыр плавленый, колбасный копченый, м.д.ж. 40% в сух. в-ве",275 к ал,"21,2 г","19,4 г","3,7 г"
"—ыр плавленый, костромской, м.д.ж. 40% в сух. в-ве",269 к ал,"21,4 г","19,2 г","2,3 г"
"—ыр плавленый, латвийский, м.д.ж. 40% в сух. в-ве",271 к ал,"20,5 г",20 г,"2,5 г"
"—ыр плавленый, российский, м.д.ж. 45% в сух. в-ве",300 к ал,"20,5 г",23 г,"2,5 г"
"—ыр плавленый, советский, м.д.ж. 44% в сух. в-ве",302 к ал,23 г,"22,5 г",0 г
"—ыр пор-салю, французский неварЄно-прессованный сыр, м.д.ж. 52% в сух. в-ве",352 к ал,"23,78 г","28,2 г","0,57 г"
"—ыр пошехонский, м.д.ж. 45% в сух. в-ве",344 к ал,26 г,"26,1 г",0 г
"—ыр прибалтийский, м.д.ж. 20% в сух. в-ве",207 к ал,"29,8 г",9 г,0 г
"—ыр проволоне, м.д.ж. 36% в сух. в-ве",274 к ал,"24,7 г","17,6 г","3,5 г"
"—ыр проволоне, м.д.ж. 45% в сух. в-ве",351 к ал,"25,58 г","26,62 г","2,14 г"
"—ыр рикотта 10,2% жирности, из цельного молока, м.д.ж. 39% в сух. в-ве",150 к ал,"7,54 г","10,18 г","7,27 г"
"—ыр рикотта 7,9% жирности, из частично обезжиренного молока, м.д.ж. 31% в сух. в-ве",138 к ал,"11,39 г","7,91 г","5,14 г"
"—ыр рокфор 27,5% жирности, м.д.ж. 50% в сух. в-ве",335 к ал,"20,5 г","27,5 г",2 г
"—ыр рокфор 30,6% жирности, м.д.ж. 51% в сух. в-ве",369 к ал,"21,54 г","30,64 г",2 г
"—ыр романо, твердый италь€нский сыр из овечьего молока, м.д.ж. 39% в сух. в-ве",387 к ал,"31,8 г","26,94 г","3,63 г"
"—ыр российский, м.д.ж. 50% в сух. в-ве",364 к ал,"23,2 г","29,5 г",0 г
"—ыр салдусский, м.д.ж. 20% в сух. в-ве",208 к ал,30 г,9 г,0 г
"—ыр сливочный 16,8% жирности, м.д.ж. 50% в сух. в-ве",208 к ал,"7,85 г","16,67 г","6,73 г"
"—ыр сливочный 34,4% жирности, м.д.ж. 73% в сух. в-ве",350 к ал,"6,15 г","34,44 г","5,52 г"
"—ыр сливочный, обезжиренный, м.д.ж. 4% в сух. в-ве",105 к ал,"15,69 г",1 г,"7,66 г"
"—ыр советский, м.д.ж. 50% в сух. в-ве",385 к ал,"24,4 г","31,1 г",0 г
"—ыр сусанинский, м.д.ж. 46% в сух. в-ве",315 к ал,"23,8 г","23,9 г",0 г
"—ыр тартуский, м.д.ж. 29% в сух. в-ве",268 к ал,31 г,"15,2 г",0 г
"—ыр тильзитер, м.д.ж. 45% в сух. в-ве",340 к ал,"24,41 г","25,98 г","1,88 г"
"—ыр тминнный, латышский сыр с тмином, м.д.ж. 48% в сух. в-ве",376 к ал,"25,18 г","29,2 г","3,06 г"
"—ыр угличский, м.д.ж. 45% в сух. в-ве",347 к ал,"25,8 г","26,3 г",0 г
"—ыр фета, м.д.ж. 48% в сух. в-ве",265 к ал,"14,21 г","21,49 г","3,88 г"
"—ыр фонтина, италь€нский полутвЄрдый сыр, м.д.ж. 50% в сух. в-ве",389 к ал,"25,6 г","31,14 г","1,55 г"
"—ыр чеддер 20,4% жирности, м.д.ж. 37% в сух. в-ве",316 к ал,"27,35 г","20,41 г","2,67 г"
"—ыр чеддер 31% жирности, м.д.ж. 50% в сух. в-ве",380 к ал,"23,5 г","30,8 г","3,37 г"
"—ыр чеддер 33,3% жирности, м.д.ж. 53% в сух. в-ве",403 к ал,"22,87 г","33,31 г","3,37 г"
"—ыр чеддер или колби 8% жирности , м.д.ж. 19% в сух. в-ве",173 к ал,"24,35 г",7 г,"1,91 г"
"—ыр чеддер или колби, с низким содержанием соли, м.д.ж. 53% в сух. в-ве",398 к ал,"24,35 г","32,62 г","1,91 г"
—ыр чеддер обезжиренный,157 к ал,"32,14 г",0 г,"7,14 г"
"—ыр чеддер острый, порезанный на ломтики, м.д.ж. 53% в сух. в-ве",410 к ал,"24,25 г","33,82 г","2,13 г"
"—ыр чешир, твердый английский сыр, м.д.ж. 49% в сух. в-ве",387 к ал,"23,37 г","30,6 г","4,78 г"
"—ыр швейцарский 31% жирности, м.д.ж. 50% в сух. в-ве",393 к ал,"26,96 г","30,99 г","1,44 г"
"—ыр швейцарский 5% жирности, м.д.ж. 13% в сух. в-ве",179 к ал,"28,4 г","5,1 г","3,4 г"
—ыр швейцарский обезжиренный,127 к ал,"28,4 г",0 г,"3,4 г"
"—ыр швейцарский, м.д.ж. 50% в сух. в-ве",391 к ал,"24,6 г","31,6 г","1,44 г"
"—ыр швейцарский, с низким содержанием соли, м.д.ж. 44% в сух. в-ве",374 к ал,"28,4 г","27,4 г","3,4 г"
"—ыр шетский, м.д.ж. 30% в сух. в-ве",246 к ал,"27,3 г","14,4 г",0 г
"—ыр эдам, м.д.ж. 48% в сух. в-ве",357 к ал,"24,99 г","28,57 г","1,43 г"
"—ыр эмментальский, м.д.ж. 44% в сух. в-ве",373 к ал,"28,2 г",28 г,0 г
"—ыр эстонский, м.д.ж. 45% в сух. в-ве",350 к ал,26 г,"26,4 г",0 г
"—ыр €рославский, м.д.ж. 45% в сух. в-ве",350 к ал,"26,2 г","26,6 г",0 г
"—ыр, чеддар, с низким содержанием жира",282 к ал,"27,2 г","18,3 г",2 г
"—ырники, из творога (творог нежирный), по 1-330",183 к ал,"18,6 г","3,6 г","18,2 г"
"—ырники, с морковью, по 1-332",232 к ал,"12,9 г","11,5 г","18,8 г"
—ырное фондю,229 к ал,"14,23 г","13,47 г","3,77 г"
"—ырные издели€, заменитель",257 к ал,"4,08 г","19,5 г","16,18 г"
"—ырные издели€, консервированные путем пастеризаци»",331 к ал,"19,66 г","24,46 г","8,32 г"
"—ырные издели€, пастеризиованные, чеддер или американский, обезжиренные",240 к ал,"17,6 г","14,1 г","10,6 г"
"—ырные издели€, пастеризованные, американскик, не содержщий двунатриевого фосфата",330 к ал,"16,86 г","25,63 г","8,56 г"
"—ырный продукт, сыр плавленный швейцарский",323 к ал,"21,92 г","24,14 г","4,5 г"
—ырный соус,197 к ал,"10,33 г","14,92 г","5,38 г"
"—ырок творожный глазированный 10,9% жирности, с ванилином",270 к ал,"9,4 г","10,9 г","33,1 г"
"—ырок творожный глазированный 27,7% жирности, с ванилином",413 к ал,"7,9 г","27,7 г","32,6 г"
"—ырок творожный детский 23% жирности, неглазированный",319 к ал,"9,1 г",23 г,"18,5 г"
"—ырок творожный сладкий 16,5% жирности, ванильный, неглазированный",238 к ал,12 г,"16,5 г","9,5 г"
"—ырок творожный сладкий 23% жирности, неглазированный",341 к ал,"7,1 г",23 г,"27,5 г"
"—ырок творожный сладкий 26% жирности, неглазированный",376 к ал,"9,1 г",26 г,"27,5 г"
"—ырок творожный сладкий 8% жирности, неглазированный",181 к ал,15 г,8 г,"11,5 г"
“ворог 11% жирности,178 к ал,16 г,11 г,3 г
“ворог 18% жирности,236 к ал,15 г,18 г,"2,8 г"
“ворог 2% жирности,114 к ал,20 г,2 г,3 г
“ворог 4% жирности,136 к ал,21 г,4 г,3 г
"“ворог 4% жирности, плодово-€годный",164 к ал,"17,3 г",4 г,"13,7 г"
“ворог 5% жирности,145 к ал,21 г,5 г,3 г
"“ворог 6% жирности, зерненый со сливками",113 к ал,13 г,6 г,1 г
“ворог 9% жирности,169 к ал,18 г,9 г,3 г
“ворог влажный 1% жирности,72 к ал,"12,39 г","1,02 г","2,72 г"
"“ворог влажный 1% жирности, без добавлени€ соли",72 к ал,"12,4 г",1 г,"2,7 г"
"“ворог влажный 1% жирности, без лактозы",74 к ал,"12,4 г",1 г,"2,6 г"
"“ворог влажный 1% жирности, с овощами",67 к ал,"10,9 г",1 г,3 г
“ворог влажный 2% жирности,81 к ал,"10,45 г","2,27 г","4,76 г"
"“ворог влажный 3,85% жирности, с фруктами",97 к ал,"10,69 г","3,85 г","4,41 г"
"“ворог влажный 4,2% жирности, с овощами",95 к ал,"10,9 г","4,2 г","2,9 г"
"“ворог влажный 4,3% жирности",98 к ал,"11,12 г","4,3 г","3,38 г"
“ворог влажный обезжиренный,72 к ал,"10,34 г","0,29 г","6,66 г"
"“ворог обезжиренный, 0,5% жирности, плодово-€годный сладкий",138 к ал,"18,2 г","0,5 г",14 г
"“ворог обезжиренный, 0,6% жирности",110 к ал,22 г,"0,6 г","3,3 г"
“ворожна€ масса сладка€ 8% жирности,181 к ал,15 г,8 г,"11,5 г"
"“ворожна€ масса сладка€ с ванилином 20,0% жирности",287 к ал,"11,5 г",20 г,"14,5 г"
"“ворожна€ масса сладка€ с ванилином, 16,5% жирности",238 к ал,12 г,"16,5 г","9,5 г"
"“ворожна€ масса сладка€ с изюмом, 23,0% жирности",345 к ал,"7,1 г",23 г,"27,1 г"
"“ворожна€ масса, с изюмом, по 1-332",343 к ал,"6,8 г","21,6 г","29,9 г"
"“ворожный крем с ванилином 5,0% жирности",167 к ал,11 г,5 г,"19,2 г"
"Ўоколадный напиток растворимый без сахара, сухой",358 к ал,"35,8 г","5,1 г",39 г
"Ўоколадный напиток растворимый, сухой",353 к ал,"19,9 г","1,4 г","65,8 г"
