ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
"„ерника дика€, замороженна€",57 к ал,0 г,"0,16 г","9,45 г"
"„ерника дика€, консервированна€ в насыщенном сиропе",107 к ал,"0,56 г","0,34 г","23,42 г"
"„ерника сушена€, подслащенна€",317 к ал,"2,5 г","2,5 г","72,5 г"
"„ерника, замороженна€, неподслащенна€",51 к ал,"0,42 г","0,64 г","9,47 г"
"„ерника, замороженна€, подслащенна€",85 к ал,"0,4 г","0,13 г","19,75 г"
"„ерника, консервированна€ в легком сахарном сиропе, сухой продукт",88 к ал,"1,04 г","0,4 г","20,06 г"
"„ерника, консервированна€ в насыщенном сахарном сиропе",88 к ал,"0,65 г","0,33 г","20,46 г"
"„ерника, сыра€ (јл€ска)",37 к ал,"0,4 г","0,1 г","8,7 г"
„ернослив (слива сушена€),240 к ал,"2,18 г","0,38 г","56,78 г"
„ернослив (слива сушена€),256 к ал,"2,3 г","0,7 г","57,5 г"
"„ернослив (слива сушена€), тушеный без добавлени€ сахара",107 к ал,"0,96 г","0,16 г","24,98 г"
"„ернослив (слива сушена€), тушеный с добавлением сахара",124 к ал,"1,09 г","0,22 г","29,08 г"
„ернослив дегидрированный,339 к ал,"3,7 г","0,73 г","89,07 г"
"„ернослив дегидрированный, тушеный",113 к ал,"1,23 г","0,24 г","29,7 г"
„ернослив со взбитыми сливками по 2-116,281 к ал,"2,3 г","12,6 г",38 г
"„ернослив, консервированный в насыщенном сахарном сиропе",105 к ал,"0,87 г","0,2 г",24 г
„ерносливовое пюре,257 к ал,"2,1 г","0,2 г","61,8 г"
„ерносмородиновый джем,284 к ал,"0,6 г","0,1 г","72,9 г"
Ўелковица,43 к ал,"1,44 г","0,39 г","8,1 г"
Ўелковица,53 к ал,"0,7 г","0,39 г",12 г
Ўиповник,109 к ал,"1,6 г","0,7 г","22,4 г"
"Ўиповник дикий, северо-американский",162 к ал,"1,6 г","0,34 г","14,12 г"
Ўиповник сухой,284 к ал,"3,4 г","1,4 г","48,3 г"
"ёюба, сушена€",281 к ал,"4,72 г","0,5 г","66,52 г"
"ёюба, сыра€",79 к ал,"1,2 г","0,2 г","20,23 г"
яблоки в сиропе.  онсервы,48 к ал,"0,2 г","0,1 г","11,5 г"
яблоки дикие,76 к ал,"0,4 г","0,3 г","19,95 г"
яблоко,52 к ал,"0,26 г","0,17 г","11,41 г"
яблоко,47 к ал,"0,4 г","0,4 г","9,8 г"
яблоко без кожуры,48 к ал,"0,27 г","0,13 г","11,46 г"
"яблоко без кожуры, вареное",53 к ал,"0,26 г","0,36 г","11,24 г"
"яблоко без кожуры, приготовленное в микроволновой печи",56 к ал,"0,28 г","0,42 г","11,61 г"
яблоко √ала,57 к ал,"0,25 г","0,12 г","11,38 г"
яблоко √олден,57 к ал,"0,28 г","0,15 г","11,2 г"
яблоко √ренни —мит,58 к ал,"0,44 г","0,19 г","10,81 г"
яблоко замороженное,48 к ал,"0,28 г","0,32 г","11,01 г"
"яблоко замороженное, разогретое",47 к ал,"0,29 г","0,33 г","10,7 г"
"яблоко ломтиками, консервированное, подслащенное, сухой продукт без маринада, разогретые",67 к ал,"0,18 г","0,43 г","14,84 г"
яблоко –ед ƒелишес,59 к ал,"0,27 г","0,2 г","11,76 г"
яблоко сушеное,253 к ал,"2,2 г","0,1 г",59 г
"яблоко сушеное (дегидрированное), сульфитированное",346 к ал,"1,32 г","0,58 г","81,13 г"
"яблоко сушеное (дегидрированное), тушеное",74 к ал,"0,28 г","0,12 г","17,31 г"
"яблоко сушеное, сульфитированное",243 к ал,"0,93 г","0,32 г","57,19 г"
"яблоко сушеное, тушеное без сахара",57 к ал,"0,22 г","0,07 г","13,32 г"
"яблоко сушеное, тушеное с сахаром",83 к ал,"0,2 г","0,07 г","18,83 г"
яблоко ‘уджи,63 к ал,"0,2 г","0,18 г","13,12 г"
яблочное повидло,250 к ал,"0,4 г",0 г,65 г
яблочное пюре,82 к ал,"0,6 г","0,2 г",19 г
яблочный компот.  онсервы,93 к ал,"0,2 г","0,2 г","22,3 г"
"яблочный соус, консервированный, неподслащенный, без добавлени€ аскорбиновой кислоты",42 к ал,"0,17 г","0,1 г","10,17 г"
"яблочный соус, консервированный, неподслащенный, с добавлением аскорбновой кислоты",42 к ал,"0,17 г","0,1 г","10,17 г"
"яблочный соус, консервированный, подслащенный, без добавлени€ соли",68 к ал,"0,16 г","0,17 г","16,29 г"
"яблочный соус, консервированный, подслащенный, с солью",76 к ал,"0,18 г","0,18 г","18,71 г"
"ягоды годжи, сушеные",349 к ал,"14,26 г","0,39 г","64,06 г"
