ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
¬ишн€,52 к ал,"0,8 г","0,2 г","10,6 г"
¬ишн€,50 к ал,1 г,"0,3 г","10,58 г"
¬ишн€ войлочна€,39 к ал,0 г,0 г,9 г
"¬ишн€ замороженна€, неподслащенна€",46 к ал,"0,92 г","0,44 г","9,42 г"
"¬ишн€ коктейльна€, консервированна€",165 к ал,"0,22 г","0,21 г","38,77 г"
"¬ишн€ ћонморанси, сушена€, подслащенна€",333 к ал,"1,25 г","0,73 г","77,95 г"
"¬ишн€, консервированна€ в водной заливке",36 к ал,"0,77 г","0,1 г","7,84 г"
"¬ишн€, консервированна€ в водной заливке, содержимое без жидкости",42 к ал,"0,69 г","0,21 г","9,25 г"
"¬ишн€, консервированна€ в легком сахарном сиропе",75 к ал,"0,74 г","0,1 г","18,5 г"
"¬ишн€, консервированна€ в насыщенном сахарном сиропе",91 к ал,"0,73 г","0,1 г","22,17 г"
"¬ишн€, консервированна€ в экстра-насыщенном сахарном сиропе",114 к ал,"0,71 г","0,09 г","28,43 г"
√олубика,39 к ал,1 г,"0,5 г","6,6 г"
√ранат,72 к ал,"0,7 г","0,6 г","14,5 г"
√ранат,83 к ал,"1,67 г","1,17 г","14,7 г"
√рейпфрут,35 к ал,"0,7 г","0,2 г","6,5 г"
√рейпфрут белый,33 к ал,"0,69 г","0,1 г","7,31 г"
"√рейпфрут белый,  алифорнийский",37 к ал,"0,88 г","0,1 г","9,09 г"
"√рейпфрут белый, ‘лоридский",32 к ал,"0,63 г","0,1 г","8,19 г"
√рейпфрут розовый и красный,42 к ал,"0,77 г","0,14 г","9,06 г"
"√рейпфрут розовый и красный,  алифорнийский и јризонский",37 к ал,"0,5 г","0,1 г","9,69 г"
"√рейпфрут розовый и красный, ‘лоридский",30 к ал,"0,55 г","0,1 г","6,4 г"
"√рейпфрут, все виды",32 к ал,"0,63 г","0,1 г","6,98 г"
"√рейпфрут, консервированный в водной заливке",36 к ал,"0,58 г","0,1 г","8,75 г"
"√рейпфрут, консервированный в легком сахарном сиропе",60 к ал,"0,56 г","0,1 г","15,04 г"
"√рейпфрут, консервированный в собственном соку",37 к ал,"0,7 г","0,09 г","8,81 г"
√руша,57 к ал,"0,36 г","0,14 г","12,13 г"
√руша,47 к ал,"0,4 г","0,3 г","10,3 г"
√руша азиатска€ (китайска€),42 к ал,"0,5 г","0,23 г","7,05 г"
√руша јнжу зелена€,66 к ал,"0,44 г","0,1 г","12,69 г"
√руша јнжу красна€,62 к ал,"0,33 г","0,14 г","11,94 г"
"√руша Ѕартлетт (виль€мс, дюшес)",63 к ал,"0,39 г","0,16 г","11,91 г"
√руша Ѕере Ѕоск,67 к ал,"0,36 г","0,09 г",13 г
√руша сушена€,270 к ал,"2,3 г","0,6 г","62,6 г"
√рушевый компот.  онсервы,74 к ал,"0,2 г","0,2 г","18,1 г"
√руши сушеные,262 к ал,"1,87 г","0,63 г","62,2 г"
"√руши сушеные, тушеные без сахара",127 к ал,"0,91 г","0,31 г","27,41 г"
"√руши сушеные, тушеные с сахаром",140 к ал,"0,86 г","0,29 г","31,34 г"
"√руши, консервированные в водной заливке",29 к ал,"0,19 г","0,03 г","6,21 г"
"√руши, консервированные в легком сахарном сиропе",57 к ал,"0,19 г","0,03 г","13,57 г"
"√руши, консервированные в насыщенном сахарном сиропе",74 к ал,"0,2 г","0,13 г","17,57 г"
"√руши, консервированные в насыщенном сахарном сиропе, сухой продукт",74 к ал,"0,24 г","0,18 г","16,38 г"
"√руши, консервированные в собственном соку",50 к ал,"0,34 г","0,07 г","11,34 г"
"√руши, консервированные в экстра-легком сахарном сиропе",47 к ал,"0,3 г","0,1 г","10,6 г"
"√руши, консервированные в экстра-насыщенном сахарном сиропе",97 к ал,"0,19 г","0,13 г","23,65 г"
√уава,68 к ал,"2,55 г","0,95 г","8,92 г"
√уава земл€нична€,69 к ал,"0,58 г","0,6 г","11,96 г"
"√уава, соус, приготовленный",36 к ал,"0,32 г","0,14 г","5,88 г"
"ƒжамболан (€мболан), сырой",60 к ал,"0,72 г","0,23 г","15,56 г"
"ƒжекфрут, консервированный в сахарном сиропе",92 к ал,"0,36 г","0,14 г","23,04 г"
"ƒжекфрут, сырой",95 к ал,"1,72 г","0,64 г","21,75 г"
ƒуриан,147 к ал,"1,47 г","5,33 г","23,29 г"
ƒын€,35 к ал,"0,6 г","0,3 г","7,4 г"
ƒын€ бела€ мускатна€,36 к ал,"0,54 г","0,14 г","8,29 г"
"ƒын€ замороженна€, шарики",33 к ал,"0,84 г","0,25 г","7,24 г"
"ƒын€ зимн€€, кассаба",28 к ал,"1,11 г","0,1 г","5,68 г"
"ƒын€ мускусна€, канталупа",34 к ал,"0,84 г","0,19 г","7,26 г"
"ƒын€ рогата€, (кивано), огурец африканский",44 к ал,"1,78 г","1,26 г","7,56 г"
≈жевика,34 к ал,"1,5 г","0,5 г","4,4 г"
≈жевика,43 к ал,"1,39 г","0,49 г","4,31 г"
≈жевика дика€ (јл€ска),52 к ал,"0,84 г","1,07 г","6,64 г"
"≈жевика, замороженна€, неподслащенна€",64 к ал,"1,18 г","0,43 г","10,67 г"
